REACH,OBS_CLASS,OBS_NAME,DATE,FEATURES,Feature_ID,OBJ_CLASS,EASTING,NORTHING,UNIQUE_ID
BIG1,MONITOR,TA,08272001,73,73,Redd,643915,5003750,1127
BIG1,MONITOR,TA,08272001,74,74,Redd,643795,5003800,1128
BIG1,MONITOR,TA,08272001,75,75,Redd,643795,5003806,1129
BIG1,MONITOR,TA,08272001,76,76,Redd,643778,5003790,1130
BIG1,MONITOR,TA,08272001,77,77,Redd,643708,5003789,1131
BIG1,MONITOR,TA,08272001,78,78,Redd,643720,5003789,1132
BIG1,MONITOR,TA,08272001,79,79,Redd,643654,5003809,1133
BIG1,MONITOR,TA,08272001,80,80,Redd,643688,5003788,1134
BIG1,MONITOR,TA,08272001,81,81,Redd,643668,5003800,1135
BIG1,MONITOR,TA,08272001,82,82,Redd,643600,5003798,1136
BIG1,MONITOR,TA,08272001,83,83,Redd,643590,5003757,1137
BIG1,MONITOR,TA,08272001,84,84,Redd,643586,5003808,1138
BIG1,MONITOR,TA,08272001,85,85,Redd,643586,5003838,1139
BIG1,MONITOR,TA,08272001,86,86,Redd,643573,5003858,1140
BIG1,MONITOR,TA,08272001,87,87,Redd,643587,5003827,1141
BIG1,MONITOR,TA,08272001,88,88,Redd,643512,5003874,1142
BIG1,MONITOR,TA,08272001,89,89,Redd,643390,5003908,1143
BIG1,MONITOR,TA,08272001,90,90,Redd,643316,5003905,1144
BIG1,MONITOR,TA,08272001,91,91,Redd,643230,5003860,1145
BIG1,MONITOR,TA,08272001,92,92,Redd,643135,5003787,1146
BIG1,MONITOR,TA,08272001,93,93,Redd,643095,5003773,1147
BIG1,MONITOR,TA,08272001,94,94,Redd,642953,5003745,1148
BIG1,MONITOR,TA,08272001,95,95,Redd,642875,5003750,1149
BIG1,MONITOR,TA,08272001,96,96,Redd,642824,5003700,1150
BIG1,MONITOR,TA,08272001,97,97,Redd,642815,5003744,1151
BIG1,MONITOR,TA,08272001,98,98,Redd,642702,5003615,1152
BIG1,MONITOR,TA,08272001,99,99,Redd,642572,5003534,1153
BIG1,MONITOR,TA,08272001,100,100,Redd,642254,5003554,1154
BIG1,MONITOR,TA,08272001,101,101,Redd,642214,5003529,1155
BIG1,MONITOR,TA,08272001,102,102,Redd,642244,5003554,1156
BIG1,MONITOR,TA,08272001,103,103,Redd,641150,5003545,1157
BIG1,MONITOR,TA,08272001,104,104,Redd,642118,5003551,1158
BIG1,MONITOR,TA,08272001,105,105,Redd,642088,5003510,1159
BIG1,MONITOR,TA,08272001,106,106,Redd,642062,5003529,1160
BIG1,MONITOR,TA,08272001,107,107,Redd,642077,5003533,1161
BIG1,MONITOR,TA,08272001,108,108,Redd,642057,5003517,1162
BIG1,MONITOR,TA,08272001,109,109,Redd,642047,5003508,1163
BIG1,MONITOR,TA,08272001,110,110,Redd,642037,5003491,1164
BIG1,MONITOR,TA,08272001,111,111,Redd,641997,5003455,1165
BIG2,MONITOR,TA,08282001,1,1,Redd,632307,4997203,1166
BIG2,MONITOR,TA,08282001,2,2,Redd,632317,4997189,1167
BIG2,MONITOR,TA,08282001,3,3,Redd,632348,4997164,1168
BIG2,MONITOR,TA,08282001,4,4,Redd,632279,4997067,1169
BIG2,MONITOR,TA,08282001,5,5,Redd,632257,4997026,1170
BIG2,MONITOR,TA,08282001,6,6,Redd,632198,4996982,1171
BIG2,MONITOR,TA,08282001,7,7,Redd,632193,4996932,1172
BIG2,MONITOR,TA,08282001,8,8,Redd,632130,4996844,1173
BIG2,MONITOR,TA,08282001,9,9,Redd,631897,4996642,1174
BIG2,MONITOR,TA,08282001,10,10,Redd,631893,4996636,1175
BIG2,MONITOR,TA,08282001,11,11,Redd,631884,4996632,1176
BIG2,MONITOR,TA,08282001,12,12,Redd,631619,4996145,1177
BIG2,MONITOR,TA,08282001,13,13,Redd,631642,4996170,1178
BIG2,MONITOR,TA,08282001,14,14,Redd,631600,4996100,1179
BIG2,MONITOR,TA,08282001,15,15,Redd,631648,4996072,1180
BIG2,MONITOR,TA,08282001,16,16,Redd,631630,4996031,1181
BIG2,MONITOR,TA,08282001,17,17,Redd,631638,4996029,1182
BIG2,MONITOR,TA,08282001,18,18,Redd,631630,4995984,1183
BIG2,MONITOR,TA,08282001,19,19,Redd,631649,4995943,1184
BIG2,MONITOR,TA,08282001,20,20,Redd,631625,4995950,1185
BIG2,MONITOR,TA,08282001,21,21,Redd,631625,4995950,1186
BIG2,MONITOR,TA,08282001,22,22,Redd,631568,4995866,1187
BIG2,MONITOR,TA,08282001,23,23,Redd,631535,4995860,1188
BIG2,MONITOR,TA,08282001,24,24,Redd,631496,4995905,1189
BIG2,MONITOR,TA,08282001,25,25,Redd,631487,4995883,1190
BIG2,MONITOR,TA,08282001,26,26,Redd,631465,4995865,1191
BIG2,MONITOR,TA,08282001,27,27,Redd,631440,4995891,1192
BIG2,MONITOR,TA,08282001,28,28,Redd,631424,4995855,1193
BIG2,MONITOR,TA,08282001,29,29,Redd,631420,4995841,1194
BIG2,MONITOR,TA,08282001,30,30,Redd,631424,4995846,1195
BIG2,MONITOR,TA,08282001,31,31,Redd,631492,4995680,1196
BIG2,MONITOR,TA,08282001,32,32,Redd,631486,4995677,1197
BIG2,MONITOR,TA,08282001,33,33,Redd,631495,4995677,1198
BIG2,MONITOR,TA,08282001,34,34,Redd,631472,4995656,1199
BIG2,MONITOR,TA,08282001,35,35,Redd,631471,4995649,1200
BIG2,MONITOR,TA,08282001,36,36,Redd,631468,4995410,1201
BIG2,MONITOR,TA,08282001,37,37,Redd,631420,4995247,1202
BIG2,MONITOR,TA,08282001,38,38,Redd,631430,4995291,1203
BIG2,MONITOR,TA,08282001,39,39,Redd,631422,4995239,1204
BIG2,MONITOR,TA,08282001,40,40,Redd,631387,4995256,1205
BIG2,MONITOR,TA,08282001,41,41,Redd,631386,4995212,1206
BIG2,MONITOR,TA,08282001,42,42,Redd,631369,4995245,1207
BIG2,MONITOR,TA,08282001,43,43,Redd,631359,4995240,1208
BIG2,MONITOR,TA,08282001,44,44,Redd,631369,4995240,1209
BIG2,MONITOR,TA,08282001,45,45,Redd,631366,4995218,1210
BIG2,MONITOR,TA,08282001,46,46,Redd,631369,4995235,1211
BIG2,MONITOR,TA,08282001,47,47,Redd,631389,4995176,1212
BIG2,MONITOR,TA,08282001,48,48,Redd,631399,4995163,1213
BIG2,MONITOR,TA,08282001,49,49,Redd,631420,4995199,1214
BIG2,MONITOR,TA,08282001,50,50,Redd,631420,4995120,1215
BIG2,MONITOR,TA,08282001,51,51,Redd,631419,4995095,1216
BIG2,MONITOR,TA,08282001,52,52,Redd,631419,4995088,1217
BIG2,MONITOR,TA,08282001,53,53,Redd,631431,4995088,1218
BIG2,MONITOR,TA,08282001,54,54,Redd,631419,4995088,1219
BIG2,MONITOR,TA,08282001,55,55,Redd,631428,4995051,1220
BIG2,MONITOR,TA,08282001,56,56,Redd,631428,4995051,1221
BIG2,MONITOR,TA,08282001,57,57,Redd,631389,4995012,1222
BIG2,MONITOR,TA,08282001,58,58,Redd,631421,4994998,1223
BIG2,MONITOR,TA,08282001,59,59,Redd,631422,4994994,1224
BIG2,MONITOR,TA,08282001,60,60,Redd,631422,4994941,1225
BIG2,MONITOR,TA,08282001,61,61,Redd,631464,4994972,1226
BIG2,MONITOR,TA,08282001,62,62,Redd,631491,4994957,1227
BIG2,MONITOR,TA,08282001,63,63,Redd,631479,4994877,1228
BIG2,MONITOR,TA,08282001,64,64,Redd,631476,4994820,1229
BIG2,MONITOR,TA,08282001,65,65,Redd,631437,4994765,1230
BIG2,MONITOR,TA,08282001,66,66,Redd,631417,4994727,1231
BIG2,MONITOR,TA,08282001,67,67,Redd,631417,4994727,1232
BIG2,MONITOR,TA,08282001,68,68,Redd,631420,4994727,1233
BIG2,MONITOR,TA,08282001,69,69,Redd,631400,4994700,1234
BIG2,MONITOR,TA,08282001,70,70,Redd,631410,4994667,1235
BIG2,MONITOR,TA,08282001,71,71,Redd,631375,4994651,1236
BIG2,MONITOR,TA,08282001,72,72,Redd,631380,4994643,1237
BIG2,MONITOR,TA,08282001,73,73,Redd,631380,4994635,1238
BIG2,MONITOR,TA,08282001,74,74,Redd,631332,4994607,1239
BIG2,MONITOR,TA,08282001,75,75,Redd,631325,4994551,1240
BIG2,MONITOR,TA,08282001,76,76,Redd,631316,4994538,1241
BIG2,MONITOR,TA,08282001,77,77,Redd,631324,4994511,1242
BIG2,MONITOR,TA,08282001,78,78,Redd,631300,4994470,1243
BIG2,MONITOR,TA,08282001,79,79,Redd,631260,4994490,1244
BIG2,MONITOR,TA,08282001,80,80,Redd,631234,4994485,1245
BIG2,MONITOR,TA,08282001,81,81,Redd,631236,4994465,1246
BIG2,MONITOR,TA,08282001,82,82,Redd,631221,4994454,1247
BIG2,MONITOR,TA,08282001,83,83,Redd,631202,4994417,1248
BIG2,MONITOR,TA,08282001,84,84,Redd,631160,4994398,1249
BIG2,MONITOR,TA,08282001,85,85,Redd,631141,4994387,1250
BIG2,MONITOR,TA,08282001,86,86,Redd,630958,4994189,1251
BIG2,MONITOR,TA,08282001,87,87,Redd,630870,4994145,1252
BIG2,MONITOR,TA,08282001,88,88,Redd,630832,4994066,1253
BIG2,MONITOR,TA,08282001,89,89,Redd,630896,4993944,1254
BIG2,MONITOR,TA,08282001,90,90,Redd,630821,4993929,1255
BIG2,MONITOR,TA,08282001,91,91,Redd,630806,4993930,1256
BIG2,MONITOR,TA,08282001,92,92,Redd,630006,4993930,1257
BIG2,MONITOR,TA,08282001,93,93,Redd,630268,4993856,1258
BIG2,MONITOR,TA,08282001,94,94,Redd,630776,4993827,1259
BIG2,MONITOR,TA,08282001,95,95,Redd,630764,4993802,1260
BIG2,MONITOR,TA,08282001,96,96,Redd,630783,4993799,1261
BIG2,MONITOR,TA,08282001,97,97,Redd,630783,4993799,1262
BIG2,MONITOR,TA,08282001,98,98,Redd,630788,4993765,1263
BIG2,MONITOR,TA,08282001,99,99,Redd,630796,4993729,1264
BIG2,MONITOR,TA,08282001,100,100,Redd,630796,4993686,1265
BIG2,MONITOR,TA,08282001,101,101,Redd,630834,4993663,1266
BIG2,MONITOR,TA,08282001,102,102,Redd,630857,4993664,1267
BIG2,MONITOR,TA,08282001,103,103,Redd,630871,4993591,1268
BIG2,MONITOR,TA,08282001,104,104,Redd,630884,4993588,1269
MARSH1,MONITOR,TW,08292001,1,1,Redd,642022,4922466,1270
MARSH1,MONITOR,TW,08292001,2,2,Redd,642081,4922448,1271
MARSH1,MONITOR,TW,08292001,3,3,Redd,642056,4922453,1272
MARSH1,MONITOR,TW,08292001,4,4,Redd,642066,4922475,1273
MARSH1,MONITOR,TW,08292001,5,5,Redd,642081,4922448,1274
MARSH1,MONITOR,TW,08292001,6,6,Redd,642082,4922445,1275
MARSH1,MONITOR,TW,08292001,7,7,Redd,642073,4922444,1276
MARSH1,MONITOR,TW,08292001,8,8,Redd,642127,4922391,1277
MARSH1,MONITOR,TW,08292001,9,9,Redd,642134,4922404,1278
MARSH1,MONITOR,TW,08292001,10,10,Redd,642171,4922370,1279
MARSH1,MONITOR,TW,08292001,11,11,Redd,642220,4922238,1280
MARSH1,MONITOR,TW,08292001,12,12,Redd,642217,4922352,1281
MARSH1,MONITOR,TW,08292001,13,13,Redd,642287,4922228,1282
MARSH1,MONITOR,TW,08292001,14,14,Redd,642292,4922238,1283
MARSH1,MONITOR,TW,08292001,15,15,Redd,642411,4922225,1284
MARSH1,MONITOR,TW,08292001,16,16,Redd,642420,4922221,1285
MARSH1,MONITOR,TW,08292001,17,17,Redd,642424,4922206,1286
MARSH1,MONITOR,TW,08292001,18,18,Redd,642192,4920087,1287
MARSH1,MONITOR,TW,08292001,19,19,Redd,642658,4919361,1288
MARSH1,MONITOR,TW,08292001,20,20,Redd,642658,4919361,1289
MARSH1,MONITOR,TW,08292001,21,21,Redd,644642,4919371,1290
MARSH1,MONITOR,TW,08292001,22,22,Redd,644809,4918760,1291
MARSH1,MONITOR,TW,08292001,23,23,Redd,644803,4918766,1292
MARSH1,MONITOR,TW,08292001,24,24,Redd,642374,4922208,1293
MARSH1,MONITOR,TW,08292001,25,25,Redd,643695,4920506,1294
BEARVAL1,MONITOR,RN,08232002,26,26,Redd,629674,4918590,1295
BEARVAL1,MONITOR,RN,08232002,27,27,Redd,629674,4918590,1296
BEARVAL1,MONITOR,RN,09032002,tredd,NA,Tredd,629696,4918715,1297
BEARVAL1,MONITOR,RN,08232002,23,23,Redd,629696,4918716,1298
BEARVAL1,MONITOR,RN,08232002,24,24,Redd,629696,4918716,1299
BEARVAL1,MONITOR,RN,08232002,25,25,Redd,629696,4918716,1300
BEARVAL1,MONITOR,RN,08232002,22,22,Redd,629731,4918801,1301
BEARVAL1,MONITOR,RN,08262002,57,57,Redd,629731,4918801,1302
BEARVAL1,MONITOR,RN,09032002,71,71,Redd,629731,4918801,1303
BEARVAL1,MONITOR,RN,08262002,56,56,Redd,629827,4918766,1304
BEARVAL1,MONITOR,RN,09032002,72,72,Redd,629827,4918766,1305
BEARVAL1,MONITOR,RN,09032002,73,73,Redd,629827,4918766,1306
BEARVAL1,MONITOR,RN,08262002,21,21,Redd,629849,4918813,1307
BEARVAL1,MONITOR,RN,08262002,55,55,Redd,629853,4918815,1308
BEARVAL1,MONITOR,RN,08232002,tredd,NA,Tredd,629929,4918768,1309
BEARVAL1,MONITOR,RN,09032002,18,18,Redd,629950,4918752,1310
BEARVAL1,MONITOR,RN,09032002,19,19,Redd,629950,4918752,1311
BEARVAL1,MONITOR,RN,08232002,20,20,Redd,629956,4918761,1312
BEARVAL1,MONITOR,RN,09032002,74,74,Redd,629956,4918761,1313
BEARVAL1,MONITOR,RN,09032002,75,75,Redd,629956,4918761,1314
BEARVAL1,MONITOR,RN,09032002,76,76,Redd,629956,4918761,1315
BEARVAL1,MONITOR,RN,09032002,77,77,Redd,629956,4918761,1316
BEARVAL1,MONITOR,RN,09032002,78,78,Redd,629956,4918761,1317
BEARVAL1,MONITOR,RN,09032002,79,79,Redd,629956,4918761,1318
BEARVAL1,MONITOR,RN,09032002,80,80,Redd,629956,4918761,1319
BEARVAL1,MONITOR,RN,09032002,81,81,Redd,629956,4918761,1320
BEARVAL1,MONITOR,RN,09032002,82.5,82.5,Redd,629956,4918761,1321
BEARVAL1,MONITOR,RN,09032002,82,82,Redd,630074,4918757,1322
BEARVAL1,MONITOR,RN,09032002,83,83,Redd,630074,4918757,1323
BEARVAL1,MONITOR,RN,09032002,84,84,Redd,630080,4918841,1324
BEARVAL1,MONITOR,RN,08262002,17,17,Redd,630085,4918757,1325
BEARVAL1,MONITOR,RN,08262002,51,51,Redd,630085,4918757,1326
BEARVAL1,MONITOR,RN,08262002,52,52,Redd,630085,4918757,1327
BEARVAL1,MONITOR,RN,08262002,53,53,Redd,630085,4918757,1328
BEARVAL1,MONITOR,RN,08262002,54,54,Redd,630085,4918757,1329
BEARVAL1,MONITOR,RN,08262002,50,50,Redd,630096,4918789,1330
BEARVAL1,MONITOR,RN,08232002,16,16,Redd,630183,4918850,1331
BEARVAL1,MONITOR,RN,09032002,85,85,Redd,630183,4918850,1332
BEARVAL1,MONITOR,RN,09032002,86,86,Redd,630183,4918850,1333
BEARVAL1,MONITOR,RN,09032002,87,87,Redd,630183,4918850,1334
BEARVAL1,MONITOR,RN,08232002,tredd,NA,Tredd,630183,4918850,1335
BEARVAL1,MONITOR,RN,09032002,88,88,Redd,630294,4918874,1336
BEARVAL1,MONITOR,RN,09032002,tredd,NA,Tredd,630294,4918874,1337
BEARVAL1,MONITOR,RN,08112002,other,NA,Other,630335,4919087,1338
BEARVAL1,MONITOR,RN,08112002,other,NA,Other,630342,4919080,1339
BEARVAL1,MONITOR,RN,08112002,other,NA,Other,630342,4919080,1340
BEARVAL1,MONITOR,RN,08232002,15,15,Redd,630356,4918915,1341
BEARVAL1,MONITOR,RN,08262002,49,49,Redd,630356,4918915,1342
BEARVAL1,MONITOR,RN,08232002,89,89,Redd,630356,4918915,1343
BEARVAL1,MONITOR,RN,09032002,91,91,Redd,630367,4919084,1344
BEARVAL1,MONITOR,RN,08232002,14,14,Redd,630376,4918971,1345
BEARVAL1,MONITOR,RN,09032002,90,90,Redd,630376,4918971,1346
BEARVAL1,MONITOR,RN,09032002,48,48,Redd,630389,4919050,1347
BEARVAL1,MONITOR,RN,08232002,12,12,Redd,630395,4919244,1348
BEARVAL1,MONITOR,RN,08232002,13,13,Redd,630395,4919244,1349
BEARVAL1,MONITOR,RN,08262002,47,47,Redd,630395,4919244,1350
BEARVAL1,MONITOR,RN,09032002,92,92,Redd,630395,4919244,1351
BEARVAL1,MONITOR,RN,09032002,93,93,Redd,630395,4919244,1352
BEARVAL1,MONITOR,RN,08262002,39,39,Redd,630395,4919627,1353
BEARVAL1,MONITOR,RN,08262002,40,40,Redd,630395,4919627,1354
BEARVAL1,MONITOR,RN,08192002,4,4,Redd,630398,4919627,1355
BEARVAL1,MONITOR,RN,08262002,41,41,Redd,630421,4919414,1356
BEARVAL1,MONITOR,RN,09032002,tredd,NA,Tredd,630426,4919391,1357
BEARVAL1,MONITOR,RN,09032002,68,68,Redd,630447,4919604,1358
BEARVAL1,MONITOR,RN,09032002,69.5,69.5,Redd,630447,4919604,1359
BEARVAL1,MONITOR,RN,08192002,3,3,Redd,630451,4919607,1360
BEARVAL1,MONITOR,RN,08262002,38,38,Redd,630451,4919607,1361
BEARVAL1,MONITOR,RN,09032002,42,42,Redd,630460,4919346,1362
BEARVAL1,MONITOR,RN,08262002,44,44,Redd,630461,4919234,1363
BEARVAL1,MONITOR,RN,08262002,45,45,Redd,630461,4919234,1364
BEARVAL1,MONITOR,RN,08262002,tredd46,46,Tredd,630461,4919234,1365
BEARVAL1,MONITOR,RN,09032002,66,66,Redd,630464,4919587,1366
BEARVAL1,MONITOR,RN,09032002,67,67,Redd,630464,4919587,1367
BEARVAL1,MONITOR,RN,08262002,43,43,Redd,630493,4919255,1368
BEARVAL1,MONITOR,RN,09032002,70,70,Redd,630493,4919255,1369
BEARVAL1,MONITOR,RN,07312002,other,NA,Other,630550,4919218,1370
BEARVAL1,MONITOR,RN,09032002,10,10,Redd,630565,4919617,1371
