spawn_date,flow_30,flow_60,flow_90
2004-09-19,659.7333333333333,689.9666666666667,914.8000000000003
2004-08-22,700.2,999.4499999999998,1700.855555555555
2004-08-26,693.8333333333334,932.1166666666666,1574.9666666666662
2004-09-03,676.6666666666666,812.2999999999998,1304.5333333333338
2004-08-19,732.7666666666667,1064.7833333333338,1804.4111111111101
2004-08-23,695.8,980.8499999999998,1670.455555555555
2004-08-27,695.6,917,1533.7777777777771
2004-08-31,687.1666666666666,851.8166666666667,1408.3222222222225
2004-09-02,680.0666666666667,824.2666666666668,1343.0666666666675
2004-08-15,779.2333333333333,1161.083333333333,1918.3888888888878
2004-08-03,968.4666666666667,1674.5666666666673,2264.3777777777764
2004-08-29,692.8,884.0666666666667,1467.3777777777766
2004-08-25,690.9333333333333,946.0833333333335,1611.0555555555563
2004-08-21,709.6333333333333,1020.6500000000002,1736.3222222222214
2004-09-08,662.6333333333333,760.9333333333333,1133.844444444445
2004-08-24,693.3333333333334,963,1642.3333333333326
2004-08-20,720.2,1042.333333333333,1771.3333333333326
2004-09-07,665.4,770.2999999999998,1164.9777777777776
2004-07-24,1265.9,2157.7833333333338,2471.633333333334
2004-08-02,990.9333333333333,1724.1333333333325,2303.08888888889
2004-08-09,859.2333333333333,1369.4499999999996,2052.6333333333346
2004-08-06,909.6666666666667,1506.5,2149.444444444444
2004-08-14,790.6,1190.083333333333,1941.2777777777765
2004-09-05,670.8,790.2333333333332,1227.9333333333327
2004-09-06,668.1333333333333,780,1196
2004-08-30,690.2333333333333,867.3499999999999,1438.0111111111114
2004-08-12,815.7,1253.6833333333327,1981.8999999999992
2004-08-08,875.2,1414.7666666666669,2083.844444444444
2004-08-04,947.9333333333333,1618.4666666666662,2224.755555555554
2004-09-09,659.9666666666667,751.9166666666667,1104.055555555556
2004-09-10,657.4333333333333,743.4166666666667,1077.944444444444
2004-09-14,663.7666666666667,721.5,995.3111111111117
